中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1729999748.1601334,1729967348.0,36.0832068017,140.0776965033,65.479,4,1729999748.1840134,1729967348.0,36.0832044183,140.0777004117,65.484,4,1729999748.1717865,1729967348.0,36.0832086983,140.0777007783,65.483,4,36.08320685362975,140.07769503350477,86.05468702253327,-3.945312977466724,36.08320625314847,140.07770721240365,-3.8954236043413095,2.018948266514976,0.278214497314778
1729999748.3516037,1729967348.2,36.083206725,140.0776979017,65.47999999999999,4,1729999748.3847184,1729967348.2,36.0832043433,140.0777018333,65.483,4,1729999748.3827925,1729967348.2,36.0832086233,140.0777021683,65.471,4,36.08320679683851,140.07769638621008,86.01437609944827,-3.985623900551732,36.08320625314847,140.07770721240365,-3.8954236043413095,1.8969586049462663,0.2731012221246658
1729999748.555573,1729967348.4,36.083206715,140.0776991617,65.485,4,1729999748.5654726,1729967348.4,36.08320433,140.0777031033,65.488,4,1729999748.7312446,1729967348.6,36.08320858,140.07770457,65.463,4,36.08320670136399,140.07769779033194,86.35695851329363,-3.643041486706369,36.08320625314847,140.07770721240365,-3.8954236043413095,1.770071939131297,0.007648934219752453
1729999748.9262297,1729967348.8,36.08320657,140.0777012767,65.473,4,1729999748.9346151,1729967348.8,36.083204185,140.0777052617,65.472,4,1729999748.7312446,1729967348.6,36.08320858,140.07770457,65.463,4,36.083207382560346,140.07769977467498,74.31932519377585,-15.680674806224149,36.08320625314847,140.07770721240365,-3.8954236043413095,1.598852732563958,8.934430645261912
1729999749.1500437,1729967349.0,36.08320653,140.0777024317,65.471,4,1729999749.1516962,1729967349.0,36.0832041583,140.077706355,65.464,4,1729999749.13976,1729967349.0,36.0832084933,140.07770674,65.453,4,36.08320594669703,140.07770073101122,97.29544589929503,7.2954458992950375,36.08320625314847,140.07770721240365,-3.8954236043413095,1.5019167506541258,-8.38261612038222
1729999749.3433743,1729967349.2,36.0832065367,140.07770316,65.457,4,1729999749.3471918,1729967349.2,36.0832041583,140.0777070917,65.459,4,1729999749.3599253,1729967349.2,36.0832084867,140.0777074133,65.451,4,36.083206573087786,140.0777023394733,85.86793929151116,-4.132060708488835,36.08320625314847,140.07770721240365,-3.8954236043413095,1.3603087569521715,0.0006937024689645527
1729999749.5701554,1729967349.4,36.083206505,140.0777039067,65.457,4,1729999749.5558145,1729967349.4,36.0832041933,140.077707865,65.462,4,1729999749.5595918,1729967349.4,36.083208495,140.07770813,65.446,4,36.08320652954193,140.0777030411911,86.54132626793582,-3.4586737320641823,36.08320625314847,140.07770721240365,-3.8954236043413095,1.2969219627127628,-0.6609439300052709
1729999749.7629447,1729967349.6,36.0832065333,140.0777044783,65.45,4,1729999749.7545185,1729967349.6,36.0832041617,140.077708395,65.463,4,1729999749.766621,1729967349.6,36.0832085,140.0777086267,65.441,4,36.083206515910206,140.07770378379374,87.13125784500947,-2.868742154990528,36.08320625314847,140.07770721240365,-3.8954236043413095,1.2301051351710643,-1.4044107457868653
1729999749.952018,1729967349.8,36.0832065333,140.0777049617,65.447,4,1729999749.9481835,1729967349.8,36.083204135,140.0777088717,65.459,4,1729999749.9381735,1729967349.8,36.0832084883,140.0777091467,65.436,4,36.083206479806144,140.07770429583238,87.51238962747286,-2.4876103725271363,36.08320625314847,140.07770721240365,-3.8954236043413095,1.1838162146962972,-1.7585060787978035
1729999750.1481721,1729967350.0,36.0832065333,140.077705555,65.448,4,1729999750.1647475,1729967350.0,36.08320414,140.0777094417,65.462,4,1729999750.1631706,1729967350.0,36.083208495,140.07770971,65.441,4,36.083206487767654,140.07770479576556,87.05841646770031,-2.941583532299688,36.08320625314847,140.07770721240365,-3.8954236043413095,1.1389845857713028,-1.5165626139760457
1729999750.5319178,1729967350.4,36.083206395,140.0777075717,65.42699999999999,4,1729999750.3519735,1729967350.2,36.08320409,140.0777103583,65.456,4,1729999750.5259705,1729967350.4,36.08320834,140.0777117317,65.431,4,36.08320648927077,140.07770536214437,87.13108120212463,-2.868918797875368,36.08320625314847,140.07770721240365,-3.8954236043413095,1.0881466276216833,-1.8067738054413927
1729999750.5319178,1729967350.4,36.083206395,140.0777075717,65.42699999999999,4,1729999750.546843,1729967350.4,36.083204,140.0777114267,65.45,4,1729999750.5259705,1729967350.4,36.08320834,140.0777117317,65.431,4,36.08320708749041,140.07770696462586,75.27208032500161,-14.727919674998386,36.08320356190114,140.0777294498371,-5.871082393865663,2.980173095008733,5.355809760924714
1729999750.9505343,1729967350.8,36.0832062533,140.0777098417,65.431,4,1729999750.9634595,1729967350.8,36.08320383,140.077713725,65.44200000000001,4,1729999750.7877507,1729967350.6,36.083208205,140.077712835,65.42699999999999,4,36.083206365867795,140.07770736708338,86.72820117790133,-3.271798822098678,36.08320356190114,140.0777294498371,-5.871082393865663,2.9322800404956597,-4.671816623023011
1729999751.1457837,1729967351.0,36.083206225,140.0777109,65.43299999999999,4,1729999751.1736782,1729967351.0,36.08320377,140.0777147833,65.44,4,1729999751.163017,1729967351.0,36.0832081183,140.07771517,65.425,4,36.08320545721727,140.07770911761042,99.39600136022143,9.396001360221433,36.08320356190114,140.0777294498371,-5.871082393865663,2.7632941023080346,-15.720705682614994
1729999751.352613,1729967351.2,36.0832061417,140.0777120017,65.426,4,1729999751.3492255,1729967351.2,36.083203725,140.077715905,65.438,4,1729999751.3591814,1729967351.2,36.0832080583,140.077716265,65.429,4,36.08320619176828,140.07771076865268,85.86240730824309,-4.1375926917569075,36.08320356190114,140.0777294498371,-5.871082393865663,2.626277063276616,-4.312341038755608
1729999751.554259,1729967351.4,36.0832060833,140.0777131833,65.423,4,1729999751.5487967,1729967351.4,36.0832036017,140.0777170433,65.434,4,1729999751.5598006,1729967351.4,36.083207925,140.0777174667,65.432,4,36.08320612304593,140.0777118756075,86.13390215612806,-3.8660978438719438,36.08320356190114,140.0777294498371,-5.871082393865663,2.526546642847281,-4.74502959984868
1729999751.7470226,1729967351.6,36.0832060067,140.077714325,65.419,4,1729999751.7342548,1729967351.6,36.0832034733,140.0777180983,65.436,4,1729999751.7501156,1729967351.6,36.0832077833,140.0777186733,65.425,4,36.08320603588555,140.07771304933073,85.44521185002593,-4.554788149974067,36.08320356190114,140.0777294498371,-5.871082393865663,2.4205824315582842,-4.204663087974755
1729999751.9401195,1729967351.8,36.0832058783,140.0777154783,65.416,4,1729999751.9307702,1729967351.8,36.0832032667,140.0777192133,65.441,4,1729999751.9468038,1729967351.8,36.0832075483,140.077719885,65.43299999999999,4,36.08320599856239,140.07771419143276,83.80639877328547,-6.193601226714529,36.08320356190114,140.0777294498371,-5.871082393865663,2.3183125771809023,-2.851854040130095
1729999752.3620167,1729967352.2,36.0832056,140.0777178583,65.417,4,1729999752.368393,1729967352.2,36.0832029117,140.0777214867,65.44200000000001,4,1729999752.347746,1729967352.2,36.083207135,140.0777223083,65.431,4,36.08320584193307,140.077715364096,82.72761068098313,-7.2723893190168605,36.08320356190114,140.0777294498371,-5.871082393865663,2.211273269432111,-1.7586055062675134
1729999752.5690885,1729967352.4,36.08320543,140.0777189817,65.411,4,1729999752.5727806,1729967352.4,36.08320275,140.0777225417,65.43299999999999,4,1729999752.5479252,1729967352.4,36.0832069333,140.07772342,65.432,4,36.08320555976274,140.07771773036077,81.00769648294073,-8.992303517059273,36.08320356190114,140.0777294498371,-5.871082393865663,1.9958753785414856,-0.11139586468537585
1729999752.7785296,1729967352.6,36.08320526,140.0777200583,65.40899999999999,4,1729999752.7664423,1729967352.6,36.0832025517,140.077723615,65.416,4,1729999752.7752492,1729967352.6,36.083206755,140.077724525,65.437,4,36.08320541940306,140.07771882207143,80.30823692789343,-9.691763072106566,36.08320356190114,140.0777294498371,-5.871082393865663,1.896320599304101,0.5826364762827478
1729999752.9377818,1729967352.8,36.0832051117,140.07772111,65.412,4,1729999752.952384,1729967352.8,36.0832023517,140.0777246517,65.42,4,1729999752.9609203,1729967352.8,36.0832065517,140.0777256033,65.438,4,36.08320524857368,140.07771991494658,80.01220901738193,-9.98779098261806,36.08320356190114,140.0777294498371,-5.871082393865663,1.796129744649192,0.9785942755540608
